id,win,item1,item2,item3,item4,item5,item6,trinket,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,legendarykills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,magicdmgtochamp,physdmgtochamp,truedmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills,totcctimedealt,champlvl,pinksbought,wardsbought,wardsplaced,wardskilled,firstblood
425,0,3165,3089,1082,1001,1056,1052,3340,4,9,5,2,1,1,390,0,0,0,0,0,85198,73035,11413,749,0,11658,9773,1651,234,485,1,8645,1907,1907,14,0,14715,4673,9200,841,8849,8560,0,0,148,0,0,0,240,13,1,0,9,1,0
426,0,1412,1036,3134,1036,3158,3748,3363,6,12,7,2,1,1,248,0,0,0,0,0,113529,12058,93836,7634,270,12454,2657,9230,566,7895,1,14151,8828,2865,33,0,31491,7686,23020,785,9761,9400,1,0,35,82,46,36,214,13,3,0,13,3,1
427,0,3194,3047,2033,3044,3057,3101,3340,4,7,9,3,1,1,716,0,0,0,0,0,64001,3123,60878,0,0,13973,1600,12372,0,205,1,33333,0,0,19,0,24729,8222,14208,2297,8151,7875,0,0,96,2,0,2,1664,13,1,0,11,2,0
428,0,3092,3117,3107,3191,0,0,3340,1,8,9,0,1,0,412,0,0,0,0,0,30233,26215,3653,364,0,12669,10261,2091,316,965,1,10507,759,759,15,0,17555,5116,11339,1098,7283,6625,0,0,26,0,0,0,114,12,1,0,7,0,0
429,0,3135,3165,3020,3065,1052,1058,3340,12,10,9,4,2,3,872,1,0,0,0,0,124814,113463,10967,384,0,32306,29792,2280,234,1874,1,25442,1342,1285,15,0,32692,15176,16498,1018,13554,11935,0,0,139,8,6,2,121,16,0,0,8,0,0
430,0,1419,3153,3085,3022,1038,3006,3364,10,11,8,4,2,4,473,1,0,0,0,0,212254,65349,135996,10908,472,33320,11754,19632,1934,8013,1,19517,9231,1706,22,0,39452,16062,21945,1444,15658,16700,1,0,121,88,53,35,1246,17,1,0,10,3,0
431,0,3116,2301,3030,3009,3136,0,3364,3,13,13,0,1,0,239,0,0,0,0,0,75822,67310,8173,338,0,16206,13485,2383,338,3012,1,11247,225,225,45,0,29197,12414,16216,566,11667,11300,1,0,66,2,1,1,305,15,2,0,24,3,0
432,0,3035,3006,3031,3086,3087,1053,3340,4,13,11,0,1,0,343,0,0,0,0,0,117520,21720,84095,11704,898,22504,1342,16096,5065,4087,3,12822,2785,2785,18,0,29751,8496,19987,1268,12610,11400,0,0,146,13,6,7,151,16,0,0,12,2,0
433,0,3047,1031,3074,3071,3155,3072,3340,9,10,4,4,2,2,326,3,0,0,0,0,150589,1436,140419,8733,614,28731,1117,22886,4727,6502,3,43253,7529,1185,10,0,44266,13658,29325,1282,14125,13850,1,0,202,15,15,0,462,17,2,0,5,0,1
434,1,3006,3153,3814,3133,3085,3031,3363,18,7,11,4,2,6,476,3,0,0,0,0,227844,288,215904,11652,1038,33436,288,30252,2896,4777,3,15020,26585,13919,31,0,31369,11442,17998,1928,18853,15650,4,0,200,33,18,15,940,18,2,0,13,2,0
